"product_name","product_price"
"",""
"Apple iPhone 15 Pro (256 GB) - Natural Titanium","1,37,600"
"Apple iPhone 15 Pro (256 GB) - Blue Titanium","1,37,600"
"Apple iPhone 15 Pro (128 GB) - White Titanium","1,28,200"
"",""
"Apple iPhone 15 Pro (256 GB) - Black Titanium","1,37,600"
"Apple iPhone 15 Pro (128 GB) - Natural Titanium","1,28,200"
"Apple iPhone 15 Pro (512 GB) - Black Titanium","1,56,400"
"Apple iPhone 15 Pro (128 GB) - Black Titanium","1,28,200"
"Apple iPhone 15 Pro (128 GB) - Blue Titanium","1,28,200"
"Apple iPhone 15 Pro (512 GB) - Blue Titanium","1,56,400"
"",""
"Apple iPhone 15 (128 GB) - Blue","70,999"
"Apple iPhone 15 (128 GB) - Black","70,999"
"Apple iPhone 15 Pro (512 GB) - White Titanium","1,56,400"
"Apple iPhone 15 Pro Max (256 GB) - Black Titanium","1,51,700"
"Apple iPhone 15 Pro (1 TB) - Natural Titanium",""
"Apple iPhone 15 Pro Max (256 GB) - White Titanium","1,51,700"
"Apple iPhone 15 (256 GB) - Black","81,999"
"Apple iPhone 15 (128 GB) - Pink","70,999"
"Apple iPhone 15 Pro Max (256 GB) - Blue Titanium","1,51,700"
"Apple iPhone 15 Plus (128 GB) - Pink","81,999"
"Apple iPhone 15 (256 GB) - Blue",""
"Apple iPhone 15 Pro Max (256 GB) - Natural Titanium","1,51,700"
"Apple iPhone 15 (128 GB) - Green","70,999"
"Apple iPhone 15 Plus (256 GB) - Black","92,000"
"Apple iPhone 15 Plus (128 GB) - Black","81,999"
"",""
"",""
